source,rating,text,subject_tag
Trustpilot,5,the online reward and review for bank a my experience with the company is no problem at all even with the web site experience of online banking,Digital Banking
Trustpilot,3,wait time to meet with someone wa a negative for me waited about of minute on a positive note once i got to meet with the manager the banking business wa completed in a timely manner and all my question were answered,Customer Service
Trustpilot,5,i had very good and smooth transaction so no complain there service is up to the mark,Customer Service
Trustpilot,5,every time that i need help i called and talked with a live person,General
Trustpilot,5,teller wa very efficient and professional,Customer Service
Trustpilot,5,very friendly staff and great knowledge the staff were very friendly great knowledge and followed with me to guarantee that everything wa of,Customer Service
Trustpilot,5,friendly people that know your name christina is always so helpful and pleasant at the dartmouth branch always look forward to seeing her behind the counter,Customer Service
Trustpilot,5,great experience everyone wa very friendly and the process for getting my daughter a new debit card went smoothly,Digital Banking
Trustpilot,5,great experience staff cooperative and excellent job,Customer Service
Trustpilot,5,great employee the employee are courteous and helpful and in never in there longer than of minute,Customer Service
Trustpilot,5,your personnel at the main and somerset branded are so welcoming and friendly,Customer Service
Trustpilot,5,excellent and friendly customer service excellent and friendly customer service,Customer Service
Trustpilot,5,everything wa fine everything wa fine,General
Trustpilot,4,that a nice product that a nice product,General
Trustpilot,5,attending is very good attending is very good very professional and courteous,General
Trustpilot,4,very good experience very good experience,General
Trustpilot,5,the guy who i called wa very polite and solved my problem in under a minute,Customer Service
Trustpilot,5,very knowledgeable answered my question,General
Trustpilot,5,easy for go in write signage easy for go in write signage informed by you business platform appreciate that is it never a is so easy your support so very good,Digital Banking
Trustpilot,5,exceptional service and understanding of the issue i had i wa very satisfied with the people whom i spoke with,Customer Service
Trustpilot,5,good experience the girl wa very pleasant and helpful,Customer Service
Trustpilot,5,when you visit the bank when you visit the bank you always receive quality service and sweet,Customer Service
Trustpilot,5,nice awesome nice awesome,General
Trustpilot,5,very nice experience and i will collaborate with them every year,General
Trustpilot,1,i would rate my experience a a out of a i have good knowledge and skill and i am always improving,General
Trustpilot,5,branch visit friendly professional and efficient employee,Customer Service
Trustpilot,5,very good service very good service,Customer Service
Trustpilot,5,visit 2192027 professional and helpful,Customer Service
Trustpilot,5,my loan officer wa very helpful always on top of everything he made the process easy and quick thank you dennis for everything,"Loans, Customer Service"
Trustpilot,4,best travelling agency best travelling agency,General
Trustpilot,1,the branch in somerset mass the branch in somerset mass is the worst no teller to service customer you always wait no matter what time of day it is terrible communication with customer the list go on and on this bank is awful,Customer Service
Trustpilot,5,i went in to cash in coin and all went very well,General
Trustpilot,5,i always get what i need when i call although the branch that i used is closed when i call on the phone i am always treated with the utmost respect employee are always knowledgeable and courteous,Customer Service
Trustpilot,5,bank is fantastic bank a is a wonderful local bank that i enjoy working with the swansea branch is always helpful and in good spirit making my daily visit excellent,Customer Service
Trustpilot,5,west port digital branch is amazing everyone wa extremely helpful with my need the service wa great and i would recommend to anyone,Customer Service
Trustpilot,5,jim sandwich wa very easy to work with a a mortgage broker highly recommend him,Loans
Trustpilot,5,they made the process and experience very good clear instruction and personal guidance,General
Trustpilot,5,hailed cabral review i have seen hailed cabral in the dartmouth branch a few time over the past year or so to help me with getting statement for my mother and her husband to get through the medicaid process which is a bear she is always courteous helpful calm and doesn't rush the process she must be a valuable asset to bank a a she is definitely a valuable asset to me and my need with my family regard daniel hawkins,Customer Service
Trustpilot,5,great thinking of moving all my banking to bank five,General
Trustpilot,5,helpful very good helpful very good,Customer Service
Trustpilot,5,customer service agent wa very polite extremely helpful i had a couple question about my acct she helped answer them fairly easily been a member of bank plan to be for many yr to cone keep up the great work hundred point,Customer Service
Trustpilot,5,helpful samantha wa very knowledgeable diligent and very helpful,Customer Service
Trustpilot,5,he rep wa very polite helpful and patient i had an issue at the super walmart and my card didst register with their machine until i went to service desk which flagged a fraud alert on the phone your representative wa very polite helpful and patient even when i didst understand one of the thing he wa asking he explained what wa needed for clarification and resolved my issue to re activate my card thank you for having awesome helpful informative staff,"Customer Service, Digital Banking"
Trustpilot,4,am goooooooooooooooood am goooooooooooooooood,General
Trustpilot,1,okay i am a construction person i do construction and then i have my account but i didst have nothing to say so actually i am a willing to build my house yeah but in not working at the moment that is why you can have this app yeah,Digital Banking
Trustpilot,5,excellent service with personal excellent service with personnel,Customer Service
Trustpilot,5,helpful staff helpful staff quick in and out pleasant atmosphere,"Customer Service, Digital Banking"
Trustpilot,5,the person that helped me get thing done is outstanding,General
Trustpilot,5,very easy to get done very easy to get done people were very knowledgeable,General
Trustpilot,5,somerset a bank five the staff at the somerset branch of bank five are awesome everyone is so friendly and helpful always quickly assisted always greeted with a smile,Customer Service
Trustpilot,5,somerset branch visit the staff at this branch are very good from the manager doreen and the rest of the crew always a pleasure to deal with this banking center and staff thank you,Customer Service
Trustpilot,5,extremely helpful extremely helpful friendly,Customer Service
Trustpilot,5,patience is a virtue i had a complicated issue and your team resolved it i really appreciated the patience throughout the process which took some time to fix,Digital Banking
Trustpilot,5,in getting starting up in getting starting up,General
Trustpilot,5,in singing up in singing up,General
Trustpilot,5,staff here are so pleasant and friendly and very efficient and knowledgeable simone and karen are the best,Customer Service
Trustpilot,3,the representative i spoke with wa informative but lack any enthusiasm for his job i actually felt like i had woken him up from a nap,General
Trustpilot,5,great service at a trying time great service at a trying time they showed a lot of concern,Customer Service
Trustpilot,5,live been working with bank a for the last a year both personal and business they are always helpful and responsive keep up with the great job,Customer Service
Trustpilot,5,great customer service great customer service,Customer Service
Trustpilot,5,the branch i go to on usher avenue the people are very helpful helpful people are very friendly at the branch people are very friendly at the branch they have fast service and ism grateful for that,Customer Service
Trustpilot,5,stephen con stephen con the representative who helped me open a debit card wa polite and courteous he walked me through the step and made it easy for me to understand the process,"Customer Service, Digital Banking"
Trustpilot,5,krystal wa terrific krystal wa terrific professional always knowledgeable,General
Trustpilot,5,awesome very helpful awesome very helpful,Customer Service
Trustpilot,5,love inspire best online pokiethumbsupmediumskintone love inspire best online pony enjoying all brand new slot free spin,Digital Banking
Trustpilot,5,friendly people and very helpful friendly people and very helpful,Customer Service
Trustpilot,5,very pleasant tellerunfotunsteky do not remember her name quick service easy parking,Customer Service
Trustpilot,5,bank a service is and to none bank a service is and to none live purchased multiple home refined multiple loan and bank a ha outdone every other mortgage firm any concern i had along the way wa addressed immediately to my delight they also had the best rate i highly recommend them and i reserve that for rare gem,"Loans, Customer Service"
Trustpilot,5,unparalleled proficiency unparalleled proficiency their approach is personal and professional and unmatched they bring to the table a superior level of skill and competence that ha no equal often radiating with profound mastery they signify a capability that far exceeds others with specialized knowledge technical expertise and performance simone lope and keith lav moliere both offer unwavering one on one support and excellence they both are simply awesome thank you for your all your help i look forward to a mutually beneficial and rewarding relationship gregory deg nan,Digital Banking
Trustpilot,5,excellent polite caring patient didst rush took time to help me out keep up the great work,Customer Service
Trustpilot,5,very friendly people very friendly people,General
Trustpilot,5,the staff wa very helpful and smiley the staff wa very helpful and smiley,Customer Service
Trustpilot,5,always a satisfying experience polite efficient always a satisfying experience polite,Customer Service
Trustpilot,3,the atm is broken half the time the atm is broken half the time,Digital Banking
Trustpilot,4,why the wait i wa there to go to the safe deposit box i had to wait because there wa only one person who could check me in due to where the checking device wa ism glad i wasn't in a hurry because there wa an elderly lady at that teller who took a while,Customer Service
Trustpilot,5,how it felt to get a loan from bank a it wa awesome the customer service from donna wa unbelievable she help me get my loan fast and easy and she wa super friendly and when i call later with question she answered them previously and patiently happy to be a customer for a year now,"Loans, Customer Service, Digital Banking"
Trustpilot,5,simple deposit good job simple deposit done well took several minute could improve that,General
Trustpilot,5,always satisfied with the service and courtesy,Customer Service
Trustpilot,5,happy thank you happy thank you,Digital Banking
Trustpilot,5,they are very nice people there they are very nice people there,General
Trustpilot,4,pretty good bank pretty good bank,General
Trustpilot,4,fast transaction fast transaction high fee good service,Customer Service
Trustpilot,5,customer service customer service,Customer Service
Trustpilot,4,bank wa able to resolve the question i had,General
Trustpilot,5,bank where people come first the person wa very helpful it didn't take a lot time for what i had need to do,Customer Service
Trustpilot,5,this seemed to be a easy fix this seemed to be a easy fix samantha wa right on top of this issue after others had no idea,General
Trustpilot,5,great service great service excellent costumer assistance,Customer Service
Trustpilot,5,very helpful and knowledgeable very helpful and knowledgeable,Customer Service
Trustpilot,5,debit card once i told the teller about my issue with debit card not getting cash she new what to do to get card activated,"Customer Service, Digital Banking"
Trustpilot,5,clearly spoken clearly spoken very knowledgeable and polite,Customer Service
Trustpilot,5,prompt service for the transaction i needed,Customer Service
Trustpilot,5,amazing bank amazing bank i have my bud ines and personal account and cant be more happy,Digital Banking
Trustpilot,5,love the service love the service went there to open an account wa a seamless process,Customer Service
Trustpilot,5,trusted this application my experience about this this helpful,"Customer Service, Digital Banking"
Trustpilot,5,great service with a smile grinningfacewithbigeyes great service with a smile grinningfacewithbigeyes,Customer Service
Trustpilot,5,great bank and great customer service great bank and great customer service,Customer Service
Trustpilot,5,susana is the best susana is the best she wa helpful throughout my entire home searching experience and wa always available for any question i had thank you for all your help,Customer Service
Trustpilot,5,their all process is easy when i get student loan if you want better bank please choose this,Loans
Trustpilot,5,i saw jared he wa a usual very helpful and wa able to answer my question i have been with bank a over of year and never had a problem,Customer Service
Trustpilot,5,of year of year banking with bank our family ha never been disappointed professional knowledgeable and courteous staff,"Customer Service, Digital Banking"
Trustpilot,5,friendly and efficient friendly and efficient,General
Trustpilot,5,friendly friendly fast service,Customer Service
Trustpilot,5,professional professional efficient friendly,General
Trustpilot,5,everyone at the somerset branch is great always nice and helpful,Customer Service
Trustpilot,5,make me happy to know that they are capable to handle our finance feel very at home and hope that it continues that way,Digital Banking
Trustpilot,5,excellent service at the bank excellent service,Customer Service
Trustpilot,5,teller are efficient and very pleasant and welcoming,Customer Service
Trustpilot,5,good job good job my only wish is that your mobile app allowed for face id again otherwise i enjoy the ease of use at the branch and the friendly staff update thank you again kyle for reaching out wa able to add face id to my app,"Customer Service, Digital Banking"
Trustpilot,5,donna aguilar is outstanding person to work with she is always there to assist you in all your need or concern,General
Trustpilot,3,i waited in drive trough for of minute in fair vienna 02719 drive through open at a of wa there at a of bank wa not open,General
Trustpilot,5,no matter the branch no matter the branch everyone is very professional pleasant and willing to help thank you,General
Trustpilot,5,i love bank five i love bank five i love the customer in there they re the best,General
Trustpilot,5,friendly and helpful i done go inside for transaction too often but when i do everyone is always friendly and helpful this trip wa no exception bank a is the best,Customer Service
Trustpilot,5,great people willing to help customer great people willing to help customer,General
Trustpilot,5,staff at all branch are always very good still very disappointed that my north end branch closed,"Customer Service, Digital Banking"
Trustpilot,5,representative wa friendly and knowledgeable answered my question quickly and completely,General
